Feature,Normalized.Dispersion
LOC105319122,0.1867176639497874
LOC105319121,-0.5310037682751704
LOC105340437,-1.1938394442437157
LOC105334741,0.7370488375478058
LOC105340438,-0.33990133773919745
LOC105340439,-1.579287466696316
LOC117680600,-0.19289733320958538
LOC105331858,1.35692775227362
LOC117692906,nan
LOC105331871,-0.08070240829135228
LOC105331862,0.28650114796031884
LOC105331863,-1.5909312941834328
LOC105331864,0.16008623201050523
LOC105331865,2.668593229235999
LOC105331866,-1.6716895547599737
LOC117692910,-0.24605529941145
LOC105331867,0.024636006902523537
LOC117692915,1.5103469091980009
LOC105331868,-0.8169060156599462
LOC105331869,10.218830594008963
LOC105335381,3.4039974606345687
LOC105335380,-1.0462972858897237
LOC117692931,2.0883278618622985
LOC105321384,4.188036033577555
LOC105320115,0.3533633056010156
LOC105320117,-2.016448692525283
LOC105325159,0.346240776698114
LOC105325156,6.257798014880211
LOC105325155,-0.9409869798269666
LOC105325152,4.390486999377716
LOC105325151,-1.7542735523778443
LOC105325150,6.608892304039988
LOC105325149,7.495333014365502
LOC105325148,-1.5763785042717666
LOC105325147,nan
LOC105325146,nan
LOC105325144,1.573199307391969
LOC105325143,2.7041646938932296
LOC117692969,-1.6301358640952053
LOC105325142,1.974873564864058
LOC105325141,-0.3739308923672452
LOC105325140,-1.8815337329892459
LOC105325138,-0.36423325622345615
LOC105325137,1.414912857292255
LOC105325136,-0.8936557020676845
LOC117693005,-0.9903257021849315
LOC105346073,-0.7556765054409044
LOC105348677,-0.08767648228162883
LOC105348676,2.514700146180641
LOC105348673,-0.3704197682410876
LOC105348672,8.724151000000724
LOC117692561,-1.020413224955752
LOC105348666,-0.19919761221457502
LOC117692562,1.7226129894482443
LOC109617159,1.793172416614052
LOC117692568,-1.216795098516909
